Name,PhysicalAddress,PostalAddress,Email,Phone,Administration Manager,Principal,Location,Directorate
Imanpa School,"N/A, Imanpa, NT","PMB 76, via Alice Springs, 0872, NT",kandi.thorpe@education.nt.gov.au,(08) 8956 7483,Rowan Churches,Kandi Thorpe,"132.5731,-25.1291",Central Australia
Sadadeen Primary School,"80 Spearwood Rd, Alice Springs, 0870, NT","PO Box 2707, ALICE SPRINGS, 0871, NT",sadadeen.primary@education.nt.gov.au,(08) 895 52299,Melanie Purdie,Donna Wright,"133.8975,-23.701331",Central Australia
Humpty Doo Primary School,"50 Freds Pass Rd, Humpty Doo, 0836, NT","PO Box 46, HUMPTY DOO, 0836, NT",admin.humptydoo@education.nt.gov.au,(08) 792 30400,,Carrie White,"131.1027,-12.576142",North
Harts Range School,"N/A, Atitjere (Harts Range), NT","PMB 162, via Alice Springs, 0871, NT",rhyl.hall@education.nt.gov.au,(08) 8956 9771,Rhyl Hall,Kylie McKay,"134.933,-22.9844",Central Australia
Henbury School,"11 Henbury Avenue, Tiwi, 0810, NT","11 Henbury Avenue, Tiwi, 0810, NT",henbury.admin@education.nt.gov.au,(08) 899 77077,,Sarah Corry,"130.88352,-12.36919",North
Haasts Bluff School,"N/A, Haasts Bluff (Ikuntji), 0872, NT","Haasts Bluff, via Alice Springs, 0872, NT",geoff.gillman@education.nt.gov.au,(08) 8956 8550,Lufen Cowham,Geoff Gillman,"131.88003,-23.44753",Central Australia
Haileybury Rendall School,"6057 Berrimah Road, Berrimah, NT","PO Box 241, Berrimah, 0828, NT",hrs.admin@hrs.edu.au,(08) 8922 1611,,Andrew McGregor,"130.92232,-12.44235",Darwin
Gunbalanya School,"N/A, Gunbalanya, NT","PMB 66, Gunbalanya, 0822, NT",admin.gunbacec@education.nt.gov.au,(08) 8979 0181,,Esther Djayhgurrnga,"133.05709,-12.32135",North
Good Shepherd Lutheran College,"Cnr Whitewood Rd and Kundook Place, Howard Springs, NT","PO Box 1146, Howard Springs, 0831, NT",admin@goodshepherd.nt.edu.au,08 89830300,,Heather Vogt,"None,None",Darwin
Gray Primary School,"22 Victoria Drive, Gray, 0830, NT","Victoria Drive, GRAY, 0830, NT",admin.graysch@education.nt.gov.au,(08) 8932 1700,Anne Griffiths,Donna Westaway,"130.98015,-12.48961",North 
Gillen Primary School,"55 Milner Rd, Alice Springs, 0870, NT","PO Box 769, ALICE SPRINGS, 0871, NT",gillen.school@education.nt.gov.au,(08) 895 52155,Nadine Branagan,Donna O'Brien,"133.869042,-23.708104",Central Australia
Girraween Primary School,"25 Carruth Rd, Girraween, 0835, NT","PO Box 1042, HOWARD SPRINGS, 0835, NT",admin.girrasch@education.nt.gov.au,(08) 8983 3300,Debra Weir,Megan McKenzie,"131.103,-12.5224",North 
Gapuwiyak School,"N/a, Gapuwiyak, NT","PMB 900, Via Winnellie, 0822, NT",kylie.hendry1@education.nt.gov.au,(08) 8987 9122,Kylie Hendry,,"135.80806,-12.50553",North 
Finke School,"N/A, Finke, NT","PMB 30, via Alice Springs, 0871, NT",finke.school@education.nt.gov.au,(08) 8956 0960,Lufen Cowham,Helen Lopinski,"134.578486,-25.5821",Central Australia
Forrest Parade School,"120 Flynn Circuit, Bellamack, 0832, NT","120 Flynn Circuit, Bellamack, 0832, NT",admin.forrestps@education.nt.gov.au,(08) 899 77111,,,"130.980725,-12.513457",North
Essington School,"22 Chapman Rd, Rapid Creek, NT","PO Box 42321, Casuarina, 0811, NT",administration@essington.nt.edu.au,(08) 8985 0100,,Brian Kennelly,"130.85719,-12.38223",Darwin
Epenarra School,"N/A, Wutunugurra (Epenarra), NT","PMB 270, via Alice Springs, 0861, NT",jennifer.cadzow@education.nt.gov.au,(08) 8964 1512,Julie Marsh,Jennifer Cadzow,"135.24972,-20.46311",Central Australia
Dundee Beach School,"500 Namarada Dr, Dundee Beach, NT","PO Box 145, Dundee Beach, 0840, NT",dundee.school@education.nt.gov.au,(08) 8978 2212,Finance Dundee,Leon Syme,"130.378,-12.7514",North 
Elliott School,"91 Bray St, Elliott, NT","C/- Elliott Post Office, Elliott, 0862, NT",kevin.gaskin@education.nt.gov.au,(08) 8969 2122,Heather Watson,Kevin Gaskin,"133.54,-17.5553",Central Australia
Douglas Daly School,"Jungawa Rd, Douglas-Daly, NT","PMB 46, via Winnellie, 0822, NT",carla.clough@education.nt.gov.au,(08) 8978 2836,Geraldine Hogarth,Carla Clough,"131.188,-13.8323",North 
Driver Primary School,"37 Driver Ave, Driver, 0830, NT","PO Box  33, PALMERSTON, 0831, NT",admin.drivesch@education.nt.gov.au,(08) 893 59000,Wendy Woods,Warwick Peter-Budge,"130.97518,-12.48559",North 
Dripstone Middle School,"10 Delamere St, Tiwi, 0810, NT","PO Box  41370, CASUARINA, 0811, NT",dripstone.middle@education.nt.gov.au,(08) 898 37777,Katerina Laouris,Nektaria Pikoulos,"130.88296,-12.3661",North 
Durack Primary School,"50 Woodlake Bvd, Durack, 0830, NT","PO Box  225, PALMERSTON, 0830, NT",durack.school@education.nt.gov.au,(08) 899 77555,Cathy Kerr,Cindy McLaren,"130.97409,-12.47586",North 
Darwin Middle School,"Atkins Drive, The Gardens, NT 0820, not available, NT","PO Box 2257, PARAP, 0804, NT",admin.darwinmiddle@education.nt.gov.au,(08) 894 25200,Christine  Dossantos,,"130.836,-12.4384",North 
Darwin Languages Centre,"1 Nemarluk Dr, Ludmilla, NT, NT","P O Box 822, Nightcliff, 0814, NT",dlc.nt@education.nt.gov.au,(08) 899 77000,Lindsey Barraclough,Kevin Northcote,"130.8536697,-12.4223633",North
Casuarina Senior College,"61 Parer Dr, Moil, 0810, NT","PO Box  40196, CASUARINA, 0811, NT",csc.admin@education.nt.gov.au,(08) 898 37300,,Glenn Dixon,"130.87897,-12.38361",North 
Clyde Fenton Primary School,"101 Giles St, Katherine, 0850, NT","PO Box 421, KATHERINE, 0851, NT",admin.clydesch@education.nt.gov.au,(08) 897 33844,Kelly Angel,Jeff Parker,"132.27042,-14.4512",North 
Casuarina Street Primary School,"Casuarina St, Katherine East, 0850, NT","PO Box 1046, KATHERINE, 0851, NT",casuarina.admin@education.nt.gov.au,(08) 897 33800,Jodie Fisher,Renez Lammon,"132.29644,-14.466",North 
Darwin High School,"10 Atkins Dr, The Gardens, 0820, NT","Bullocky Point, DARWIN, 0820, NT",darwin.high@education.nt.gov.au,(08) 899 91222,,Jill Hazeldine,"130.83398,-12.43893",North 
Centralian Middle School,"56 Milner Rd, Alice Springs, 0870, NT","PO Box 1771, ALICE SPRINGS, 0871, NT",centralian.middle@education.nt.gov.au,(08) 895 52333,Brenda Savage,Cassie O'Bree,"133.8664,-23.709",Central Australia
Canteen Creek School,"N/a, Canteen Creek, NT","PMB 105, via Alice Springs, 0872, NT",admin.cantesch@education.nt.gov.au,(08) 8964 1505,,Edwin Currall,"135.584506,-20.644769",Central Australia
Callistemon House,"80 Callistemon Dr, Katherine East, 0850, NT","PO Box 1971, Katherine East, 0851, NT",admin.callistemon@education.nt.gov.au,(08) 8972 3212,Jenny Carroll,Shannon Dohl,"132.2853853,-14.4615068",North
Bulla Camp School,"N/A, Bulla, NT","PMB 89, Katherine, 0851, NT",jenine.williams@education.nt.gov.au,(08) 9167 8957,Keely Wallace,Jenine Williams,"130.04,-15.7691",North
Bradshaw Primary School,"23 Adamson Ave, Alice Springs, 0870, NT","PO Box 1744, ALICE SPRINGS, 0871, NT",bradshaw.school@education.nt.gov.au,(08) 895 52100,Melanie Shaw,Michele Turk,"133.8595,-23.7085",Central Australia
Bulman School,"N/A, Bulman, NT","PMB 13, Katherine, 0851, NT",irene.singleton@education.nt.gov.au,(08) 8975 4707,Suzi White,Irene Singleton,"134.33036,-13.66483",North
Bonya School,"Community ID 26, Orrtipa-Thurra (Bonya), NT","PMB 69, via Alice Springs, 0872, NT",billie.coupland@education.nt.gov.au,(08) 8956 6352,Rhyl Hall,Billie Coupland,"136.16675,-22.77886",Central Australia
Borroloola School,"321 Robinson Rd, Borroloola, 0854, NT","PMB 5, Borroloola, 0854, NT",admin.borrosch@education.nt.gov.au,(08) 896 51800,Annette Bradford,Jane Arnott,"136.30649,-16.0582",North 
Berry Springs Primary School,"1150 Cox Peninsula Rd, Berry Springs, 0838, NT","PO Box 135, Berry Springs, 0838, NT",berrysprings.primary@education.nt.gov.au,(08) 8988 6006,Wendy Alp,Sue Trimble,"130.98749,-12.7159",North 
Centralian Senior College,"10 Grevillea Drive, Alice Springs, 0870, NT","PO Box 4856, ALICE SPRINGS, 0871, NT",admin.centraliansc@education.nt.gov.au,(08) 895 85000,,Joanne Alford,"133.8953,-23.6979",Central Australia
Belyuen School,"N/A, Belyuen, NT","PMB 2, GPO Darwin, 0801, NT",elspeth.hurse@education.nt.gov.au,(08) 8978 5085,Carmel Pedersen,Elspeth Hurse,"130.701214,-12.5393",North
Alice Springs School Of The Air,"80 Head St, Alice Springs, 0870, NT","PO Box 1220, Alice Springs, 0871, NT",assoa@assoa.nt.edu.au,(08) 8951 6800,Lana Bezuidenhout,Kerrie Russell,"133.86618,-23.67805",Central Australia
Alice Springs Language Centre,"Milner Road, Alice SPrings, 0870, NT","PO Box 9045, Alice Springs, 0871, NT",alice.language@education.nt.gov.au,(08) 895 52366,Carol Watson,Susan Moore,"133.8669804543902,-23.70818046115718",Central Australia
Bees Creek Primary School,"20 Sattler Cres, Freds Pass, NT","PO Box 1500, Coolalinga, 0839, NT",bees.creek@education.nt.gov.au,(08) 8983 3222,Rachel Webster,Wendy Jordan,"131.0528,-12.5408",North 
Alice Springs Steiner School,"Lot 9523 Ragonesi Rd, Alice Springs, 0870, NT","PO Box 2736, Alice Springs, 0871, NT",accounts@alicesteiner.nt.edu.au,(08) 8953 4578,,Dina Fiek,"133.881575,-23.743824",not available
Alekarenge School,"N/A, Ali Curung (Warrabri), NT","LMB 161, via Alice Springs, 0872, NT",admin.alekacec@education.nt.gov.au,(08) 8964 1957,Julie Marsh,Michelle Leonard,"134.405661,-21.003806",Central Australia
Braitling Primary School,"80 Head St, Alice Springs, 0870, NT","PO Box  1669, ALICE SPRINGS, 0871, NT",admin.braitsch@education.nt.gov.au,(08) 895 85111,Sarah Robertson,Belinda Pearson,"133.86684,-23.67838",Central Australia
Adelaide River School,"31 Memorial Tce, Adelaide River, 0846, NT","C/- Post Office, Adelaide River, 0846, NT",adelaideriver.ps@education.nt.gov.au,(08) 8976 7034,Tricia Forscutt,Tony Clegg,"131.10926,-13.2371",North
Acacia Hill School,"80 Spearwood Rd, Alice Springs, 0870, NT","PO Box 435, ALICE SPRINGS, 0871, NT",acaciahill.school@education.nt.gov.au,(08) 895 52222,Janet Dales,Julie Permezel,"133.898,-23.7007",Central Australia
Alcoota School,"N/A, Engawala (Alcoota Stn), NT","PMB 129,, via Alice Springs, 0872, NT",sian.munn@education.nt.gov.au,(08) 8956 9977,Rhyl Hall,Sian Munn,"134.45452,-22.80235",Central Australia
Alawa Primary School,"27 Pett Street, Alawa, 0810, NT","PO Box 40446, Casuarina, 0811, NT",alawa.school@education.nt.gov.au,(08) 899 77666,Jetske Hines,Sandy Cartwright,"130.87754,-12.38022",North 
